Job Title,Location,Qualifications,Salary
Software Engineer - Full-Stack,"Accrete - 3.0
New York, NY","['CI/CD', 'Data modeling', 'Management', 'Node.js', 'React', 'Kubernetes', 'RESTful API', 'Full-stack development', 'Software deployment', 'DevOps', 'NoSQL', 'Git', 'Google Cloud Platform', 'Mid-level', '3 years', 'Databases', 'Microservices', 'SQL', 'AWS', 'Docker', 'Machine learning', 'JavaScript', 'Back-end development', 'Angular', 'Django', 'APIs', 'Scalability', 'IT', 'Construction', 'Vue.js', 'Flask', 'AI']","Full-time
$140,000 - $190,000 a year
2 days ago"
Software Developer,"Luxoft - 4.5
New York, NY","['Computer science', 'Node.js', 'Computer Science', 'React', 'English', 'Mid-level', 'Java', ""Bachelor's degree"", 'JavaScript', 'Computer Information Systems', 'Kafka', 'Maven', '2 years', 'Spring', 'Hibernate']","$151,819 a year
1 day ago"
Software Engineer,"Morgan & Morgan, P.A. - 2.8
Brooklyn, NY","['Mid-level', 'Personal injury law']","Full-time
$120,000 a year
1 day ago"
Backend Engineer,"Bevel
New York, NY","['Mid-level', 'TypeScript', 'Python']","Full-time
$120,000 - $160,000 a year"
"Java Engineer, Associate","BlackRock Investments - 3.8
New York, NY","['CI/CD', 'Computer science', 'Kotlin', 'Computer Science', 'Relational databases', 'Bachelor of Science', 'UNIX', 'Employee orientation', 'Git', 'Mid-level', '3 years', 'Java', 'Analysis skills', ""Bachelor's degree"", 'Distributed systems', 'Product management', 'Scrum', 'APIs', 'Linux', 'Distributed computing', 'SDLC']","$132,500 - $162,000 a year"
Kubernetes Engineer,"Evolve ESolutions LLC
New York, NY","['Kubernetes', 'Software deployment', 'PaaS', 'Mid-level', 'Cloud Native Design', 'Red Hat OpenShift', 'Azure Kubernetes Service (AKS)', '9 years']","Contract
$60 - $75 an hour
1 day ago"
Backend Engineer,"Spotify - 4.1
New York, NY","['Writing skills', 'Data structures', 'System design', 'Java', 'Distributed systems', 'APIs', 'Senior level', 'Under 1 year']","Permanent
$160,091 - $228,702 a year
2 days ago"
Java Software Engineer III,"JPMorganChase - 3.9
New York, NY","['Spring Boot', 'CI/CD', 'Cassandra', 'Software troubleshooting', 'React', 'RESTful API', 'DevOps', 'Business analysis', 'System design', '3 years', 'Java', 'Application development', 'Business development', 'AWS', 'Machine learning', 'Cloud development', 'Angular', 'GitHub', 'Agile', 'Kafka', 'Senior level', 'AI', 'Jenkins', 'Debugging', 'SDLC']","Full-time
$133,000 - $185,000 a year
2 days ago"
Backend Developer,"Benefit Funds Office - 4.0
New York, NY","['ASP.NET', 'Computer science', 'Computer Science', 'CSS', 'Software troubleshooting', 'Web development', 'C#', 'Microsoft SQL Server', 'Git', 'Mid-level', '.NET', ""Bachelor's degree"", 'SVN', 'JavaScript', 'Back-end development', 'COBOL', 'Software development', 'Agile', 'TFS', '2 years', 'Communication skills', 'HTML']","Full-time
From $75,000 a year
22 hours ago"
Lead Machine Learning Engineer,"iVisa.com
United States","['TensorFlow', 'CI/CD', 'PyTorch', 'Google Cloud Platform', '3 years', 'AWS', 'Machine learning', 'Senior level', 'AI', 'Machine learning frameworks', 'Leadership', 'Communication skills', 'Python', 'MLOps']","Full-time
$120,000 - $160,000 a year"
